"Temperatura","pH","Oxígeno disuelto","Conductividad","Turbiedad","Alcalinidad total","Cloruros totales","Dureza total","Fluoruros","Nitrógeno de nitratos","Nitrógeno de nitritos","Nitrógeno amoniacal","Nitrógeno total Kjeldahl","Sulfatos","SAAM","DBO Turbiedad","DQO","Grasas y aceites","Fósforo total","SST","Sólidos disueltos tot.","Sólidos sedimentables","Sulfuros","Aluminio","Arsénico","Bario","Cadmio","Cobre","Cromo","Fierro","Manganeso","Mercurio","Níquel","Plomo","Sodio","Zinc","Coliformes totales","Coliformes fecales","Temp. ambiente","Acidez total","Dureza de calcio","Sólidos totales","Nitrógeno total","Materia flotante","fecha","año","mes","est"
22,7.38,0.39,420,13.8,183.2,16.46,38.2,0.41,0.1,0.022,0.54,4.34,39.09,0.67,13.02,54.18,8.27,0.39,28,268,0.1,0.1,0.841,0.0025,0.005,5e-04,0.05,0.05,0.773,0.194,50000,0.1,0.0025,22.1,740,2400000,2400000,25,,,296,4.34,,2009-06-30,"2009","6","RZ-0RS-01"
25,7.05,0,528,17.3,229.11,39.32,71.04,0.26,0.1,0.022,3.26,7.75,17.43,0.22,34.4,93.96,10.66,0.81,38,345,0.1,0.51,0.258,7100,0.005,5e-04,0.05,0.05,0.651,1.193,60000,0.1,0.0025,32.3,0.02,4300,4300,22,,,383,7.75,,2009-07-29,"2009","7","RS-01"
21,7,0.39,688,7.4,229.11,50.3,111,0.38,0.1,0.022,1.63,5.36,56.76,0.14,4.09,49.11,11.51,1.39,5,450,0.1,4.5,0.01,118,0.005,5e-04,0.05,0.05,0.448,0.406,50000,0.1,0.0025,45.6,0.02,24000,24000,25,,,455,5.36,,2009-07-29,"2009","7","RS-02"
22,6.94,0,773,4.26,229.11,54.87,111,0.46,0.1,0.022,1.08,2.98,75.98,0.19,5.37,59.92,8.52,2.05,12,490,0.1,4.3,0.01,118,0.005,5e-04,0.05,0.05,0.196,1.063,50000,0.1,0.0025,62,0.02,4300,4300,24,,,502,2.98,,2009-07-29,"2009","7","RS-03"
26,7.52,0,836,27,274.93,59.44,111,0.68,0.1,0.022,5.97,14.3,62.79,3.3,24.12,92.36,11.93,2.16,42,502,0.1,0.12,1.545,0.01,0.005,410,0.05,0.05,0.754,1.13,70000,0.1,0.0025,64.2,890,1100000,1100000,26,,,544,14.3,,2009-07-29,"2009","7","RS-04"
25,7.59,0.39,998,9.76,366.57,63.1,119.88,0.89,0.1,164,4.34,13.58,70.33,0.63,13.26,69.53,8.81,2.62,9,598,0.1,0.52,0.272,111,0.005,5e-04,0.05,0.05,0.289,1.113,80000,0.1,0.0025,80.9,0.02,110000,110000,28,,,607,13.5964,,2009-07-29,"2009","7","RS-05"
28,8.22,5.11,934,11.6,366.57,59.44,124.32,0.88,3.28,1.21,2.17,5.97,70.38,0.32,12.54,67.53,4.97,3.7,12,599,0.1,0.1,0.5,109,0.005,1800,0.05,0.05,0.404,0.842,70000,0.1,0.0025,77.4,890,46000,46000,30,,,611,10.46,,2009-07-29,"2009","7","RS-06"
25,7.52,1.37,1100,62.9,274.93,96.03,133.2,0.83,0.1,0.022,4.89,19.56,102.86,6.35,83.2,180.86,21.17,2.89,97,668,0.1,0.1,0.976,167,0.005,2.705,0.232,0.06,0.835,0.362,90000,0.1,0.0025,98.1,4.515,460000,460000,20,,,765,19.56,,2009-07-29,"2009","7","RS-07"
27,7.76,3.54,840,31.5,229.11,59.44,97.68,1.03,1.48,0.7075,3.8,9.23,65.43,940,18.37,49.5,12.14,1.97,88,512,0.5,0.1,2.953,116,0.005,8000,0.05,0.05,2.106,0.124,90000,0.1,0.0025,69.5,920,240000,240000,22,,,600,11.4175,,2009-07-29,"2009","7","RS-08"
29,7.42,2.55,746,22.2,183.28,53.96,88.8,0.19,0.1,272,4.34,10.32,66.24,0.43,9.48,49.5,13.7,1.25,18,489,0.1,0.1,1.878,121,0.005,113,0.05,0.05,1.774,0.51,70000,0.1,0.0025,56.9,590,23000,23000,25,,,507,10.3472,,2009-07-29,"2009","7","RS-09"
32,7.79,5.7,655,160,137.46,48.47,93.24,0.66,3.15,0.7075,3.26,6.56,60.15,0.019,37.68,128.8,20.21,1.65,181,582,0.6,0.1,8.814,175,0.005,6800,0.05,0.05,10.085,0.708,90000,0.1,185,51,820,43000,43000,31,,,763,10.4175,,2009-07-29,"2009","7","RS-RS-010"
23,7.34,0,921,70.4,229.11,57.62,128.76,0.72,0.25,136,9.23,18.47,86.81,7.31,47.16,156.84,18.75,2.86,98,547,0.1,0.1,4.344,8600,0.005,3000,0.05,0.05,7.285,1.338,80000,0.1,0.0025,62.3,0.825,2400000,2400000,21,,,645,18.7336,,2009-07-29,"2009","7","AA-0RS-01"
25,7.5,0.78,781,68.8,229.11,52.13,104.34,0.72,0.1,0.022,7.6,13.71,56.7,2.18,22.68,98.76,8.99,1.98,183,477,1,0.72,1.817,9200,0.005,5e-04,0.05,0.05,1.03,1.136,70000,0.1,0.0025,58.9,0.02,1100000,1100000,26,,,660,13.71,,2009-07-29,"2009","7","AA-0RS-02"
25,6.92,0,528,18.8,229.11,37.49,79.92,0.18,0.1,0.022,1.63,3.58,21.61,0.53,51.72,115.59,11.25,0.95,49,344,0.4,2.11,0.333,7200,0.005,5e-04,0.05,0.05,0.657,1.009,80000,0.1,0.0025,32.1,0.02,9000,9000,22,,,393,3.58,,2009-07-29,"2009","7","RZ-0RS-01"
